Pump_ID,Gram_Panchayat,Cluster,Pump_Type,Recency_Raw,Tariff_Freq_6M,OM_Reserve_Raw,Energy_Discharge_Ratio_Raw,Daily_Runtime_Hrs,Public_Utility_Priority,CGWB_Aquifer_Drop_m,Ground_Truth_Breakdown
PUMP-JJM-0011,Gram Panchayat #111,Cluster C - Eastern Delta,Grid Electric 10HP,97 days,2,42506,94.34 L/kWh,4.0,0,1.15,0
PUMP-JJM-0012,Gram Panchayat #112,Cluster A - North Plains,Dual Solar-Grid 7.5HP,108 days,5,33770,134.62 L/kWh,8.3,0,1.29,0
PUMP-JJM-0013,Gram Panchayat #113,Cluster A - North Plains,Grid Electric 10HP,107 days,6,"₹ 20,653",111.72 L/kWh,7.9,0,1.18,0
PUMP-JJM-0014,Gram Panchayat #114,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,34 days,4,"₹ 40,253",135.93 L/kWh,6.5,0,0.7,0
PUMP-JJM-0015,Gram Panchayat #115,Cluster B - Southern Hills,Solar Submersible 5HP,116,4,"₹ 30,088",128.09 L/kWh,5.7,0,0.24,0
PUMP-JJM-0016,Gram Panchayat #116,Cluster B - Southern Hills,Grid Electric 10HP,116 days,0,"₹ 22,154",127.21 L/kWh,3.2,0,1.0,1
PUMP-JJM-0017,Gram Panchayat #117,Cluster D - Western Arid Zone,Solar Submersible 5HP,32 days,6,"₹ 31,496",118.04,3.4,0,0.5,0
PUMP-JJM-0018,Gram Panchayat #118,Cluster D - Western Arid Zone,Grid Electric 10HP,52 days,5,"₹ 22,736",88.72 L/kWh,10.1,0,0.19,0
PUMP-JJM-0019,Gram Panchayat #119,Cluster A - North Plains,Solar Submersible 5HP,119 days,0,"₹ 29,541",134.57 L/kWh,3.4,1,0.7,0
PUMP-JJM-0020,Gram Panchayat #120,Cluster A - North Plains,Handpump Motor Assist 3HP,63 days,3,"₹ 14,508",45.63 L/kWh,10.7,1,0.16,0
PUMP-JJM-0021,Gram Panchayat #121,Cluster A - North Plains,Dual Solar-Grid 7.5HP,55,5,"₹ 36,922",88.74 L/kWh,4.3,0,0.05,0
PUMP-JJM-0022,Gram Panchayat #122,Cluster A - North Plains,Solar Submersible 5HP,110 days,4,"₹ 10,817",75.62 L/kWh,3.0,0,1.72,1
PUMP-JJM-0023,Gram Panchayat #123,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,114 days,4,"₹ 16,635",101.23 L/kWh,3.3,1,0.75,0
PUMP-JJM-0024,Gram Panchayat #124,Cluster A - North Plains,Solar Submersible 5HP,51 days,1,"₹ 44,519",105.26 L/kWh,8.6,0,2.38,0
PUMP-JJM-0025,Gram Panchayat #125,Cluster C - Eastern Delta,Grid Electric 10HP,10 days,4,"₹ 14,469",91.35 L/kWh,5.8,0,0.25,0
PUMP-JJM-0026,Gram Panchayat #126,Cluster A - North Plains,Grid Electric 10HP,104 days,5,"₹ 35,164",109.31 L/kWh,2.6,1,0.32,0
PUMP-JJM-0027,Gram Panchayat #127,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,20 days,2,"₹ 18,965",65.98,4.4,0,0.28,0
PUMP-JJM-0028,Gram Panchayat #128,Cluster C - Eastern Delta,Grid Electric 10HP,55 days,6,"₹ 18,632",75.93 L/kWh,2.9,0,0.13,0
PUMP-JJM-0029,Gram Panchayat #129,Cluster B - Southern Hills,Handpump Motor Assist 3HP,2 days,0,"₹ 5,431",160.48 L/kWh,3.9,0,0.41,0
PUMP-JJM-0030,Gram Panchayat #130,Cluster A - North Plains,Dual Solar-Grid 7.5HP,102 days,6,"₹ 3,114",91.85 L/kWh,11.0,0,0.26,0
PUMP-JJM-0031,Gram Panchayat #131,Cluster D - Western Arid Zone,Solar Submersible 5HP,80 days,5,"₹ 10,628",132.98 L/kWh,4.0,1,0.18,0
PUMP-JJM-0032,Gram Panchayat #132,Cluster A - North Plains,Handpump Motor Assist 3HP,53 days,6,"₹ 44,403",98.43 L/kWh,10.7,1,0.28,0
PUMP-JJM-0033,Gram Panchayat #133,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,105 days,3,"₹ 23,415",88.81 L/kWh,4.7,0,0.19,0
PUMP-JJM-0034,Gram Panchayat #134,Cluster A - North Plains,Solar Submersible 5HP,83 days,4,"₹ 26,693",168.63 L/kWh,9.0,1,0.36,0
PUMP-JJM-0035,Gram Panchayat #135,Cluster A - North Plains,Handpump Motor Assist 3HP,34 days,0,"₹ 7,604",83.52,10.0,0,3.74,0
PUMP-JJM-0036,Gram Panchayat #136,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,56 days,0,"₹ 34,573",91.62 L/kWh,11.3,0,1.14,0
PUMP-JJM-0037,Gram Panchayat #137,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,80 days,2,"₹ 43,975",142.25 L/kWh,5.4,0,0.47,0
PUMP-JJM-0038,Gram Panchayat #138,Cluster A - North Plains,Dual Solar-Grid 7.5HP,49 days,5,"₹ 11,905",64.43 L/kWh,8.3,0,0.71,0
PUMP-JJM-0039,Gram Panchayat #139,Cluster B - Southern Hills,Solar Submersible 5HP,84 days,2,"₹ 30,973",60.95 L/kWh,7.4,1,2.89,0
PUMP-JJM-0040,Gram Panchayat #140,Cluster A - North Plains,Solar Submersible 5HP,12 days,6,"₹ 15,892",128.78 L/kWh,8.9,0,0.2,0
PUMP-JJM-0041,Gram Panchayat #141,Cluster B - Southern Hills,Solar Submersible 5HP,10 days,3,"₹ 27,660",144.59 L/kWh,9.3,0,0.46,0
PUMP-JJM-0042,Gram Panchayat #142,Cluster A - North Plains,Grid Electric 10HP,100 days,3,14841,79.94 L/kWh,4.2,1,0.66,1
PUMP-JJM-0043,Gram Panchayat #143,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,60 days,5,"₹ 35,308",156.95 L/kWh,11.5,1,0.85,0
PUMP-JJM-0044,Gram Panchayat #144,Cluster D - Western Arid Zone,Grid Electric 10HP,34 days,6,16703,106.42 L/kWh,10.5,0,1.35,0
PUMP-JJM-0045,Gram Panchayat #100,Cluster B - Southern Hills,Solar Submersible 5HP,35 days,2,"₹ 21,452",121.23 L/kWh,3.9,0,0.15,0
PUMP-JJM-0046,Gram Panchayat #101,Cluster A - North Plains,Handpump Motor Assist 3HP,8 days,1,"₹ 28,034",101.07 L/kWh,6.2,1,2.63,0
PUMP-JJM-0047,Gram Panchayat #102,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,50 days,6,"₹ 27,960",54.62 L/kWh,10.1,1,0.6,0
PUMP-JJM-0048,Gram Panchayat #103,Cluster A - North Plains,Handpump Motor Assist 3HP,103 days,3,"₹ 11,316",96.44,10.5,1,3.55,1
PUMP-JJM-0049,Gram Panchayat #104,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,55 days,1,"₹ 30,757",121.30 L/kWh,5.6,0,0.37,0
PUMP-JJM-0050,Gram Panchayat #105,Cluster B - Southern Hills,Solar Submersible 5HP,11 days,3,"₹ 1,770",134.71 L/kWh,9.6,0,2.73,0
PUMP-JJM-0051,Gram Panchayat #106,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,32 days,1,"₹ 1,835",91.31 L/kWh,7.0,0,2.66,0
PUMP-JJM-0052,Gram Panchayat #107,Cluster A - North Plains,Dual Solar-Grid 7.5HP,96 days,5,"₹ 8,006",92.15 L/kWh,9.9,0,0.34,0
PUMP-JJM-0053,Gram Panchayat #108,Cluster A - North Plains,Solar Submersible 5HP,92 days,1,"₹ 5,480",54.79 L/kWh,4.8,1,0.32,1
PUMP-JJM-0054,Gram Panchayat #109,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,65 days,5,"₹ 22,862",73.93 L/kWh,2.6,0,0.61,0
PUMP-JJM-0055,Gram Panchayat #110,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,56 days,1,"₹ 34,693",137.12 L/kWh,10.2,0,0.59,0
PUMP-JJM-0056,Gram Panchayat #111,Cluster C - Eastern Delta,Solar Submersible 5HP,36 days,3,"₹ 16,481",104.02 L/kWh,9.6,0,0.99,0
PUMP-JJM-0057,Gram Panchayat #112,Cluster B - Southern Hills,Solar Submersible 5HP,46 days,6,"₹ 17,431",71.23 L/kWh,9.2,0,0.01,0
PUMP-JJM-0058,Gram Panchayat #113,Cluster A - North Plains,Dual Solar-Grid 7.5HP,31 days,5,"₹ 31,701",170.81 L/kWh,8.6,0,1.42,0
PUMP-JJM-0059,Gram Panchayat #114,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,75 days,2,"₹ 31,515",79.67 L/kWh,12.0,0,0.39,0
PUMP-JJM-0060,Gram Panchayat #115,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,41 days,0,"₹ 35,618",99.41 L/kWh,11.5,1,0.19,0
PUMP-JJM-0061,Gram Panchayat #116,Cluster A - North Plains,Solar Submersible 5HP,37 days,0,"₹ 13,221",100.51 L/kWh,5.4,1,0.12,0
PUMP-JJM-0062,Gram Panchayat #117,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,112 days,6,"₹ 32,670",141.73 L/kWh,3.5,0,0.3,0
PUMP-JJM-0063,Gram Panchayat #118,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,111,3,"₹ 7,976",125.50 L/kWh,3.2,0,0.05,0
PUMP-JJM-0064,Gram Panchayat #119,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,54 days,4,"₹ 39,567",78.16 L/kWh,10.0,0,0.67,0
PUMP-JJM-0065,Gram Panchayat #120,Cluster A - North Plains,Grid Electric 10HP,73 days,4,"₹ 4,447",65.64 L/kWh,11.5,0,0.21,0
PUMP-JJM-0066,Gram Panchayat #121,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,53,3,"₹ 39,416",73.48 L/kWh,7.0,0,0.31,0
PUMP-JJM-0067,Gram Panchayat #122,Cluster C - Eastern Delta,Grid Electric 10HP,102,5,"₹ 39,152",66.83 L/kWh,6.5,0,0.94,0
PUMP-JJM-0068,Gram Panchayat #123,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,96 days,6,"₹ 37,803",40.84 L/kWh,11.3,0,0.57,1
PUMP-JJM-0069,Gram Panchayat #124,Cluster A - North Plains,Dual Solar-Grid 7.5HP,11 days,4,"₹ 3,112",153.79 L/kWh,8.2,0,0.23,0
PUMP-JJM-0070,Gram Panchayat #125,Cluster D - Western Arid Zone,Solar Submersible 5HP,67 days,5,"₹ 29,481",73.51 L/kWh,11.2,0,0.79,0
PUMP-JJM-0071,Gram Panchayat #126,Cluster A - North Plains,Handpump Motor Assist 3HP,14,6,"₹ 11,039",84.12 L/kWh,5.2,1,1.51,0
PUMP-JJM-0072,Gram Panchayat #127,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,99,3,"₹ 34,224",157.21 L/kWh,10.3,0,1.83,0
PUMP-JJM-0073,Gram Panchayat #128,Cluster D - Western Arid Zone,Solar Submersible 5HP,64,5,"₹ 29,469",111.48 L/kWh,7.7,1,0.52,0
PUMP-JJM-0074,Gram Panchayat #129,Cluster A - North Plains,Handpump Motor Assist 3HP,91 days,1,"₹ 20,865",86.43 L/kWh,7.7,0,0.09,1
PUMP-JJM-0075,Gram Panchayat #130,Cluster B - Southern Hills,Handpump Motor Assist 3HP,92 days,2,"₹ 33,849",99.97 L/kWh,7.1,0,0.55,0
PUMP-JJM-0076,Gram Panchayat #131,Cluster C - Eastern Delta,Solar Submersible 5HP,18 days,6,"₹ 5,075",75.14 L/kWh,5.1,1,0.48,0
PUMP-JJM-0077,Gram Panchayat #132,Cluster C - Eastern Delta,Grid Electric 10HP,85 days,3,"₹ 10,238",71.97 L/kWh,5.7,1,0.43,1
PUMP-JJM-0078,Gram Panchayat #133,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,110 days,6,"₹ 27,420",123.28 L/kWh,2.9,1,1.1,0
PUMP-JJM-0079,Gram Panchayat #134,Cluster A - North Plains,Handpump Motor Assist 3HP,20,3,2926,173.68 L/kWh,5.7,0,1.68,0
PUMP-JJM-0080,Gram Panchayat #135,Cluster D - Western Arid Zone,Solar Submersible 5HP,20 days,0,"₹ 31,268",174.68 L/kWh,9.9,0,0.88,0
PUMP-JJM-0081,Gram Panchayat #136,Cluster C - Eastern Delta,Grid Electric 10HP,49 days,2,"₹ 41,577",98.46,10.8,0,0.06,0
PUMP-JJM-0082,Gram Panchayat #137,Cluster A - North Plains,Dual Solar-Grid 7.5HP,82 days,5,"₹ 7,086",52.06 L/kWh,6.7,1,2.1,0
PUMP-JJM-0083,Gram Panchayat #138,Cluster D - Western Arid Zone,Grid Electric 10HP,19 days,1,"₹ 35,310",64.92 L/kWh,4.2,0,0.85,0
PUMP-JJM-0084,Gram Panchayat #139,Cluster C - Eastern Delta,Grid Electric 10HP,82,2,"₹ 30,618",137.80 L/kWh,4.9,0,1.47,0
PUMP-JJM-0085,Gram Panchayat #140,Cluster A - North Plains,Grid Electric 10HP,39 days,5,"₹ 28,307",95.84 L/kWh,5.4,1,1.73,0
PUMP-JJM-0086,Gram Panchayat #141,Cluster A - North Plains,Handpump Motor Assist 3HP,90 days,2,"₹ 1,937",74.02 L/kWh,11.8,1,0.29,1
PUMP-JJM-0087,Gram Panchayat #142,Cluster B - Southern Hills,Solar Submersible 5HP,30 days,4,"₹ 23,589",114.40 L/kWh,4.9,1,1.31,0
PUMP-JJM-0088,Gram Panchayat #143,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,57 days,0,38482,132.30 L/kWh,6.0,0,2.16,0
PUMP-JJM-0089,Gram Panchayat #144,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,47 days,4,"₹ 33,385",166.44,4.9,1,0.59,0
PUMP-JJM-0090,Gram Panchayat #100,Cluster C - Eastern Delta,Solar Submersible 5HP,97 days,1,44823,75.90 L/kWh,9.4,1,3.08,1
PUMP-JJM-0091,Gram Panchayat #101,Cluster B - Southern Hills,Handpump Motor Assist 3HP,59,2,"₹ 44,594",109.83 L/kWh,6.1,0,0.42,0
PUMP-JJM-0092,Gram Panchayat #102,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,118 days,4,15007,82.71,8.7,0,0.56,1
PUMP-JJM-0093,Gram Panchayat #103,Cluster D - Western Arid Zone,Grid Electric 10HP,64 days,0,"₹ 6,869",114.15 L/kWh,6.2,0,2.69,0
PUMP-JJM-0094,Gram Panchayat #104,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,79,3,"₹ 18,833",153.27 L/kWh,2.8,0,0.53,0
PUMP-JJM-0095,Gram Panchayat #105,Cluster B - Southern Hills,Solar Submersible 5HP,83,2,"₹ 4,468",91.79 L/kWh,3.7,1,0.55,1
PUMP-JJM-0096,Gram Panchayat #106,Cluster B - Southern Hills,Grid Electric 10HP,101 days,4,13948,123.56 L/kWh,3.2,1,0.21,0
PUMP-JJM-0097,Gram Panchayat #107,Cluster B - Southern Hills,Solar Submersible 5HP,1 days,2,"₹ 9,982",153.50 L/kWh,10.1,0,1.81,0
PUMP-JJM-0098,Gram Panchayat #108,Cluster A - North Plains,Handpump Motor Assist 3HP,3 days,1,"₹ 17,891",106.58 L/kWh,3.0,1,0.67,0
PUMP-JJM-0099,Gram Panchayat #109,Cluster D - Western Arid Zone,Solar Submersible 5HP,58,4,"₹ 15,019",119.81 L/kWh,9.9,1,0.66,0
PUMP-JJM-0100,Gram Panchayat #110,Cluster C - Eastern Delta,Grid Electric 10HP,88,0,"₹ 32,630",106.50 L/kWh,9.3,0,2.07,0
PUMP-JJM-0101,Gram Panchayat #111,Cluster A - North Plains,Grid Electric 10HP,71 days,5,"₹ 21,811",75.40 L/kWh,5.3,0,0.51,0
PUMP-JJM-0102,Gram Panchayat #112,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,106 days,3,"₹ 26,631",142.12 L/kWh,6.5,0,0.5,0
PUMP-JJM-0103,Gram Panchayat #113,Cluster C - Eastern Delta,Solar Submersible 5HP,12 days,6,"₹ 6,094",123.14 L/kWh,9.5,1,0.73,0
PUMP-JJM-0104,Gram Panchayat #114,Cluster B - Southern Hills,Grid Electric 10HP,55 days,6,"₹ 3,871",118.72 L/kWh,11.7,0,0.39,0
PUMP-JJM-0105,Gram Panchayat #115,Cluster A - North Plains,Dual Solar-Grid 7.5HP,109,4,"₹ 24,588",131.23 L/kWh,4.6,0,0.74,0
PUMP-JJM-0106,Gram Panchayat #116,Cluster D - Western Arid Zone,Solar Submersible 5HP,118 days,2,"₹ 23,504",128.69,2.6,1,0.75,0
PUMP-JJM-0107,Gram Panchayat #117,Cluster A - North Plains,Solar Submersible 5HP,96 days,4,"₹ 14,598",82.58,4.0,0,0.35,0
PUMP-JJM-0108,Gram Panchayat #118,Cluster C - Eastern Delta,Grid Electric 10HP,11 days,2,29539,137.01 L/kWh,8.8,0,0.53,0
PUMP-JJM-0109,Gram Panchayat #119,Cluster A - North Plains,Solar Submersible 5HP,37 days,5,"₹ 44,965",74.30 L/kWh,5.4,0,3.75,0
PUMP-JJM-0110,Gram Panchayat #120,Cluster B - Southern Hills,Grid Electric 10HP,98 days,2,"₹ 19,469",86.35 L/kWh,5.6,0,1.24,1
PUMP-JJM-0111,Gram Panchayat #121,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,107 days,5,"₹ 23,710",172.61 L/kWh,2.9,0,2.29,0
PUMP-JJM-0112,Gram Panchayat #122,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,15,3,"₹ 1,866",140.47 L/kWh,11.7,0,2.65,0
PUMP-JJM-0113,Gram Panchayat #123,Cluster A - North Plains,Solar Submersible 5HP,76 days,3,"₹ 34,838",172.30 L/kWh,9.6,0,1.36,0
PUMP-JJM-0114,Gram Panchayat #124,Cluster B - Southern Hills,Grid Electric 10HP,45 days,5,"₹ 42,799",143.57 L/kWh,10.2,0,0.14,0
PUMP-JJM-0115,Gram Panchayat #125,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,23 days,6,41653,51.39 L/kWh,9.7,0,2.32,0
PUMP-JJM-0116,Gram Panchayat #126,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,39,6,"₹ 18,501",112.17 L/kWh,8.1,0,0.07,0
PUMP-JJM-0117,Gram Panchayat #127,Cluster A - North Plains,Handpump Motor Assist 3HP,83 days,6,"₹ 6,417",78.77 L/kWh,6.9,0,1.41,0
PUMP-JJM-0118,Gram Panchayat #128,Cluster C - Eastern Delta,Solar Submersible 5HP,78 days,3,"₹ 33,357",82.47 L/kWh,3.9,0,0.1,0
PUMP-JJM-0119,Gram Panchayat #129,Cluster C - Eastern Delta,Solar Submersible 5HP,57 days,3,"₹ 34,845",89.63,6.0,0,0.47,0
PUMP-JJM-0120,Gram Panchayat #130,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,13,4,"₹ 44,958",107.07 L/kWh,6.2,0,1.72,0
PUMP-JJM-0121,Gram Panchayat #131,Cluster C - Eastern Delta,Grid Electric 10HP,40 days,5,"₹ 43,893",73.37 L/kWh,11.4,0,0.43,0
PUMP-JJM-0122,Gram Panchayat #132,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,88 days,4,"₹ 6,624",139.55 L/kWh,8.6,0,0.4,0
PUMP-JJM-0123,Gram Panchayat #133,Cluster A - North Plains,Dual Solar-Grid 7.5HP,63 days,1,"₹ 15,346",130.31 L/kWh,5.3,1,0.64,0
PUMP-JJM-0124,Gram Panchayat #134,Cluster B - Southern Hills,Handpump Motor Assist 3HP,20,1,"₹ 12,351",110.00 L/kWh,10.4,1,1.49,0
PUMP-JJM-0125,Gram Panchayat #135,Cluster D - Western Arid Zone,Grid Electric 10HP,57 days,4,"₹ 19,173",110.92 L/kWh,4.7,0,3.03,0
PUMP-JJM-0126,Gram Panchayat #136,Cluster B - Southern Hills,Grid Electric 10HP,60 days,6,18966,48.75 L/kWh,9.9,0,0.49,0
PUMP-JJM-0127,Gram Panchayat #137,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,83 days,3,"₹ 24,827",94.66 L/kWh,10.5,1,0.3,0
PUMP-JJM-0128,Gram Panchayat #138,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,12 days,1,"₹ 30,065",104.53 L/kWh,10.9,1,0.48,0
PUMP-JJM-0129,Gram Panchayat #139,Cluster D - Western Arid Zone,Grid Electric 10HP,4 days,2,"₹ 6,993",136.95 L/kWh,10.0,0,0.3,0
PUMP-JJM-0130,Gram Panchayat #140,Cluster D - Western Arid Zone,Solar Submersible 5HP,116 days,0,"₹ 1,745",67.04 L/kWh,4.9,1,0.72,1
PUMP-JJM-0131,Gram Panchayat #141,Cluster A - North Plains,Grid Electric 10HP,31 days,3,"₹ 42,374",120.54,3.6,1,0.82,0
PUMP-JJM-0132,Gram Panchayat #142,Cluster C - Eastern Delta,Solar Submersible 5HP,46 days,1,"₹ 37,899",72.78 L/kWh,6.5,1,0.08,0
PUMP-JJM-0133,Gram Panchayat #143,Cluster A - North Plains,Dual Solar-Grid 7.5HP,65 days,4,"₹ 1,832",79.53 L/kWh,8.5,1,0.26,0
PUMP-JJM-0134,Gram Panchayat #144,Cluster C - Eastern Delta,Grid Electric 10HP,81 days,0,"₹ 38,635",135.06 L/kWh,9.5,0,0.04,0
PUMP-JJM-0135,Gram Panchayat #100,Cluster A - North Plains,Grid Electric 10HP,62 days,5,"₹ 12,445",114.76 L/kWh,9.9,0,0.31,0
PUMP-JJM-0136,Gram Panchayat #101,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,51 days,6,36088,98.29 L/kWh,7.0,0,0.94,0
PUMP-JJM-0137,Gram Panchayat #102,Cluster B - Southern Hills,Handpump Motor Assist 3HP,35 days,0,"₹ 24,618",77.36 L/kWh,6.7,1,0.37,0
PUMP-JJM-0138,Gram Panchayat #103,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,35 days,6,5914,123.65 L/kWh,9.4,0,0.83,0
PUMP-JJM-0139,Gram Panchayat #104,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,40 days,3,"₹ 39,993",105.74 L/kWh,6.7,0,1.17,0
PUMP-JJM-0140,Gram Panchayat #105,Cluster B - Southern Hills,Solar Submersible 5HP,10 days,5,"₹ 42,280",89.30 L/kWh,6.4,0,1.25,0
PUMP-JJM-0141,Gram Panchayat #106,Cluster B - Southern Hills,Handpump Motor Assist 3HP,5 days,1,"₹ 4,906",114.43 L/kWh,5.9,1,0.03,0
PUMP-JJM-0142,Gram Panchayat #107,Cluster A - North Plains,Solar Submersible 5HP,74 days,1,"₹ 35,198",160.19 L/kWh,6.0,0,0.29,0
PUMP-JJM-0143,Gram Panchayat #108,Cluster D - Western Arid Zone,Grid Electric 10HP,72 days,0,"₹ 17,655",118.53 L/kWh,4.5,0,1.07,0
PUMP-JJM-0144,Gram Panchayat #109,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,116 days,5,"₹ 29,670",56.05 L/kWh,12.0,1,3.09,0
PUMP-JJM-0145,Gram Panchayat #110,Cluster A - North Plains,Grid Electric 10HP,39 days,6,"₹ 10,822",90.95 L/kWh,8.6,1,0.64,0
PUMP-JJM-0146,Gram Panchayat #111,Cluster A - North Plains,Solar Submersible 5HP,47 days,4,"₹ 38,004",32.15 L/kWh,6.0,1,0.72,1
PUMP-JJM-0147,Gram Panchayat #112,Cluster C - Eastern Delta,Grid Electric 10HP,68 days,3,"₹ 27,332",116.09 L/kWh,11.7,0,0.54,0
PUMP-JJM-0148,Gram Panchayat #113,Cluster A - North Plains,Grid Electric 10HP,24 days,6,"₹ 8,956",97.73 L/kWh,6.6,1,0.05,0
PUMP-JJM-0149,Gram Panchayat #114,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,29 days,2,34506,163.47 L/kWh,4.9,0,0.72,0
PUMP-JJM-0150,Gram Panchayat #115,Cluster C - Eastern Delta,Solar Submersible 5HP,76 days,4,10605,68.49,4.1,0,2.09,0
PUMP-JJM-0151,Gram Panchayat #116,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,83 days,6,"₹ 38,299",107.79 L/kWh,7.9,0,0.03,0
PUMP-JJM-0152,Gram Panchayat #117,Cluster D - Western Arid Zone,Grid Electric 10HP,39 days,3,5282,133.98 L/kWh,9.0,0,0.48,0
PUMP-JJM-0153,Gram Panchayat #118,Cluster D - Western Arid Zone,Solar Submersible 5HP,41 days,5,"₹ 23,134",128.31,6.0,0,0.35,0
PUMP-JJM-0154,Gram Panchayat #119,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,38 days,3,"₹ 40,829",107.14 L/kWh,6.5,1,2.09,0
PUMP-JJM-0155,Gram Panchayat #120,Cluster C - Eastern Delta,Solar Submersible 5HP,60,3,"₹ 20,720",94.80 L/kWh,6.2,0,0.25,0
PUMP-JJM-0156,Gram Panchayat #121,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,84 days,5,"₹ 31,340",110.25 L/kWh,5.2,0,0.1,0
PUMP-JJM-0157,Gram Panchayat #122,Cluster C - Eastern Delta,Solar Submersible 5HP,52 days,0,37873,79.26 L/kWh,5.2,0,0.54,0
PUMP-JJM-0158,Gram Panchayat #123,Cluster A - North Plains,Solar Submersible 5HP,44,4,"₹ 24,460",97.42 L/kWh,9.7,0,0.64,0
PUMP-JJM-0159,Gram Panchayat #124,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,67 days,3,"₹ 10,260",76.91 L/kWh,5.6,0,0.16,0
PUMP-JJM-0160,Gram Panchayat #125,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,73 days,2,"₹ 31,622",83.91 L/kWh,10.2,0,1.01,0
